ink_iron_ratio,parchment_density,carbon_14_ratio,scribal_pressure_var,pigment_layer_count,uv_fluorescence_idx,linguistic_anachronism_score,vellum_thickness_mm,is_authentic
0.641,1.075,0.9182,14.4,6,0.755,1.65,0.137,1
0.083,0.608,0.9556,12.7,6,0.507,6.9,0.536,0
0.055,0.893,0.9839,55.5,4,0.43,8.18,0.516,0
0.096,0.662,1.0066,26.3,1,0.996,7.37,0.397,0
0.595,0.439,0.866,58.3,1,0.667,7.23,0.118,0
0.771,0.776,0.8545,72.5,5,0.514,9.94,0.411,0
0.265,0.378,0.8729,21.0,7,0.398,9.63,0.409,0
0.814,1.091,0.929,45.2,7,0.325,2.69,0.379,1
0.102,1.132,0.9433,65.1,3,0.705,1.45,0.416,0
0.771,1.039,0.8773,76.7,4,0.588,1.53,0.584,1
0.885,0.806,0.9322,49.7,2,0.848,8.96,0.598,0
0.745,0.802,0.9383,26.5,1,0.554,1.02,0.36,1
0.678,1.186,0.8718,56.9,6,0.582,3.4,0.146,0
0.804,0.523,1.0333,46.4,3,0.477,5.3,0.167,0
0.086,0.368,0.9698,71.8,4,0.763,6.13,0.46,0
0.232,0.806,0.9277,54.4,3,0.415,5.96,0.591,0
0.162,0.596,0.9514,32.4,3,0.852,7.86,0.318,0
0.504,0.59,0.9128,70.4,7,0.327,5.72,0.149,0
0.721,0.306,1.0209,51.4,6,0.693,8.51,0.277,0
0.617,0.837,0.965,24.2,5,0.893,0.85,0.293,0
0.816,0.538,0.949,55.0,3,0.769,8.59,0.598,0
0.19,0.469,1.0322,85.9,6,0.343,5.9,0.443,0
0.711,0.336,1.0176,66.4,3,0.706,2.23,0.159,0
0.224,0.628,1.0126,33.9,4,0.207,9.78,0.269,0
0.294,1.091,0.8951,66.9,2,0.058,9.4,0.124,0
0.689,0.603,0.8806,32.6,5,0.791,8.46,0.427,0
0.932,0.911,0.988,53.4,1,0.808,9.12,0.436,0
0.6,0.981,0.9437,52.1,6,0.023,3.82,0.129,0
0.099,0.595,0.9867,29.8,5,0.948,2.28,0.268,0
0.605,1.039,1.0021,37.8,1,0.446,1.83,0.551,1
0.088,0.923,0.9091,85.4,4,0.905,8.74,0.513,0
0.846,0.803,0.9069,30.0,2,0.788,8.27,0.387,0
0.689,0.301,0.9482,74.1,4,0.901,9.81,0.342,0
0.206,0.332,0.9047,63.4,1,0.833,8.48,0.596,0
0.133,1.192,0.9835,52.6,6,0.974,6.32,0.461,0
0.215,1.004,0.9993,21.0,4,0.629,1.42,0.576,1
0.932,1.144,0.9444,26.4,3,0.227,1.65,0.136,1
0.463,1.112,0.9948,24.3,7,0.39,4.74,0.206,1
0.756,0.318,0.9521,56.9,5,0.752,7.68,0.116,0
0.623,1.013,0.9926,87.9,5,0.157,1.73,0.534,1
0.565,0.706,0.895,80.2,2,0.93,9.16,0.447,0
0.181,1.011,0.9978,12.0,4,0.205,6.84,0.189,0
0.901,0.306,0.993,31.9,5,0.876,3.12,0.587,1
0.321,0.559,0.9033,22.6,7,0.484,8.86,0.578,0
0.57,0.976,0.9612,88.1,5,0.841,5.99,0.212,0
0.68,1.014,1.0211,28.8,2,0.958,7.33,0.424,0
0.634,0.858,0.8999,26.1,5,0.422,3.85,0.434,0
0.897,0.571,0.9972,59.7,1,0.697,3.94,0.102,0
0.184,0.579,1.0408,54.5,3,0.227,0.13,0.444,0
0.508,1.17,1.0232,28.1,7,0.801,5.38,0.211,0
0.414,0.695,0.9303,63.6,6,0.82,7.61,0.551,0
0.477,0.702,0.9714,17.8,7,0.295,9.69,0.519,0
0.157,0.797,1.0484,11.5,3,0.024,8.92,0.553,0
0.171,0.669,0.9637,16.6,5,0.431,0.87,0.479,1
0.3,0.797,0.873,39.2,5,0.17,9.81,0.182,0
0.324,0.689,0.8591,88.0,2,0.819,1.49,0.28,0
0.435,1.044,1.0081,53.8,7,0.261,0.41,0.454,1
0.6,1.118,0.9347,70.4,7,0.944,7.49,0.262,0
0.621,1.139,0.8994,35.7,1,0.972,9.06,0.455,0
0.421,0.808,0.9195,67.5,6,0.909,9.5,0.268,0
0.418,0.698,1.0015,87.3,4,0.6,8.25,0.189,0
0.246,0.935,0.943,38.6,5,0.267,2.05,0.359,1
0.579,1.054,1.0237,89.9,4,0.807,1.54,0.443,0
0.335,0.807,0.997,61.1,2,0.702,0.59,0.359,0
0.082,0.93,1.0448,69.9,1,0.977,5.82,0.421,0
0.427,0.975,1.0277,30.2,4,0.377,4.87,0.319,1
0.477,0.909,0.9009,61.4,6,0.059,1.09,0.489,1
0.253,0.972,0.9818,50.9,6,0.998,4.65,0.425,0
0.565,0.488,0.8541,86.5,2,0.838,5.67,0.387,0
0.559,0.749,1.0482,82.4,7,0.221,7.23,0.318,0
0.682,0.829,0.9022,41.7,3,0.726,4.14,0.368,0
0.633,0.302,0.983,85.7,4,0.001,3.18,0.126,0
0.637,1.07,1.0198,80.8,3,0.558,6.66,0.433,1
0.335,0.849,0.8821,57.2,4,0.363,6.84,0.202,0
0.759,0.416,1.0196,16.6,4,0.381,2.7,0.53,1
0.544,1.035,0.8524,22.9,5,0.245,0.2,0.506,1
0.438,0.945,0.9384,16.1,4,0.275,9.46,0.364,0
0.613,0.982,0.9444,18.6,4,0.455,7.55,0.524,1
0.375,0.653,0.9248,88.2,5,0.248,2.01,0.435,0
0.511,1.069,0.9673,27.0,3,0.466,5.66,0.171,0
0.713,0.673,1.033,65.3,4,0.577,5.95,0.47,0
0.848,0.813,0.9154,60.9,1,0.711,1.26,0.598,0
0.879,0.301,0.9659,60.5,7,0.677,1.92,0.12,0
0.503,0.88,1.0255,26.5,1,0.242,9.57,0.222,0
0.518,0.946,1.0046,56.3,7,0.039,5.08,0.399,0
0.77,0.81,0.8581,60.0,6,0.833,1.91,0.308,0
0.333,0.747,1.0386,55.6,7,0.872,7.98,0.419,0
0.804,1.029,0.8593,24.9,1,0.979,4.71,0.393,0
0.495,0.913,0.9678,67.8,2,0.96,6.38,0.494,0
0.154,0.55,0.9651,15.9,1,0.634,2.98,0.135,0
0.115,1.163,1.0073,57.3,3,0.894,0.58,0.32,1
0.808,0.937,0.8797,44.9,7,0.448,1.65,0.53,1
0.1,1.189,0.8859,30.0,6,0.787,9.73,0.281,0
0.303,1.174,1.0004,74.6,5,0.955,6.24,0.352,0
0.351,1.127,0.8799,24.1,6,0.796,8.31,0.111,0
0.206,0.98,0.9439,84.6,1,0.416,0.22,0.212,0
0.333,0.848,0.9963,80.8,6,0.378,7.65,0.332,0
0.718,0.455,0.9802,38.8,3,0.292,4.85,0.299,0
0.063,0.789,0.8921,34.4,5,0.367,6.65,0.457,0
0.794,0.989,0.9108,21.0,6,0.821,3.58,0.406,1
0.821,0.769,1.0438,83.3,5,0.702,6.21,0.54,0
0.385,1.081,0.9397,60.2,3,0.25,0.36,0.527,0
0.188,0.399,0.8589,12.5,5,0.712,0.46,0.221,0
0.591,0.643,0.8939,50.9,4,0.379,7.99,0.109,0
0.158,0.755,0.9185,16.9,5,0.558,1.24,0.527,0
0.378,0.689,1.0499,55.9,4,0.37,0.14,0.265,1
0.913,0.398,0.9105,50.7,3,0.522,9.12,0.274,0
0.946,0.438,0.8553,16.6,2,0.73,2.66,0.179,0
0.745,1.054,0.9526,75.3,3,0.731,5.82,0.447,0
0.33,0.736,0.8667,31.0,6,0.753,8.39,0.24,0
0.669,0.344,0.9048,53.3,7,0.391,7.46,0.188,0
0.685,0.315,1.0485,61.1,1,0.69,0.47,0.352,0
0.399,0.726,0.9909,87.0,2,0.239,5.61,0.475,0
0.627,0.448,0.8601,49.5,4,0.477,5.42,0.235,0
0.06,0.935,0.9397,83.4,5,0.583,3.5,0.461,0
0.238,1.016,0.8843,38.4,2,0.686,7.54,0.331,0
0.523,0.505,0.8746,78.6,3,0.912,9.64,0.302,0
0.197,0.833,0.9674,28.9,1,0.305,1.47,0.28,1
0.199,0.439,0.9511,66.6,1,0.845,1.45,0.173,0
0.803,0.573,0.9986,17.1,2,0.311,7.35,0.266,0
0.94,1.1,1.0285,88.9,6,0.552,4.54,0.54,0
0.55,0.79,0.8993,86.3,7,0.828,7.95,0.151,0
0.805,1.097,1.0346,45.4,4,0.723,1.41,0.579,1
0.941,0.503,0.9536,51.9,2,0.863,0.4,0.154,0
0.177,0.597,0.9018,57.8,7,0.815,6.98,0.281,0
0.453,0.724,1.0192,32.0,2,0.276,9.95,0.403,0
0.403,0.732,0.8571,64.0,2,0.993,0.95,0.519,0
0.122,1.198,0.9619,65.9,1,0.937,8.64,0.172,0
0.73,0.403,0.9943,52.0,3,0.43,3.85,0.171,0
0.44,1.067,0.906,21.8,6,0.047,0.17,0.414,1
0.472,1.077,1.0227,83.5,3,0.303,5.1,0.246,0
0.186,0.798,0.8981,19.2,4,0.836,2.79,0.422,0
0.213,0.61,1.018,60.3,3,0.951,6.93,0.51,0
0.866,0.767,0.8657,18.2,7,0.832,2.88,0.138,0
0.09,0.563,0.882,21.7,5,0.397,4.82,0.522,0
0.26,1.019,0.9262,11.6,5,0.057,2.01,0.119,1
0.313,0.748,1.0208,39.1,4,0.518,8.28,0.549,0
0.491,1.133,0.8789,61.2,4,0.376,9.25,0.588,1
0.578,0.86,1.0251,51.7,7,0.123,4.03,0.434,0
0.494,0.763,0.8959,64.0,5,0.106,4.49,0.592,0
0.126,0.94,0.9405,64.0,6,0.153,9.83,0.511,0
0.269,0.754,0.9205,21.2,1,0.206,1.42,0.122,0
0.809,1.114,0.8736,14.6,7,0.754,8.09,0.102,0
0.624,0.466,1.0389,60.0,7,0.382,5.67,0.11,1
0.634,1.176,0.9376,62.3,5,0.437,8.81,0.326,0
0.653,1.031,0.9881,54.5,7,0.598,2.92,0.412,1
0.737,1.075,0.9651,29.7,4,0.96,2.96,0.341,1
0.102,0.735,0.9503,74.9,2,0.756,3.26,0.439,0
0.38,1.053,0.9733,16.1,5,0.646,0.17,0.325,1
0.536,0.576,1.0297,60.6,5,0.744,1.7,0.121,0
0.355,0.986,0.9899,19.6,2,0.719,9.95,0.213,0
0.81,0.426,0.9565,62.4,2,0.69,2.49,0.596,1
0.484,0.576,0.979,43.4,3,0.496,0.2,0.273,0
0.742,0.701,0.9713,67.4,4,0.567,2.79,0.262,0
0.817,0.59,0.9366,14.2,2,0.461,4.08,0.176,1
0.504,0.648,0.975,54.4,6,0.395,5.48,0.594,0
0.869,1.038,0.9387,21.6,1,0.271,0.69,0.215,1
0.578,0.531,1.0015,64.6,7,0.355,7.9,0.423,0
0.815,0.971,1.0438,19.6,5,0.429,8.26,0.121,1
0.357,0.366,1.042,15.9,3,0.579,2.13,0.133,0
0.499,0.989,1.0141,67.0,3,0.5,7.98,0.458,0
0.528,1.013,0.9704,15.1,5,0.108,3.61,0.418,1
0.144,0.662,0.9999,28.0,1,0.34,4.23,0.44,0
0.409,0.95,0.8856,76.0,6,0.376,9.36,0.215,0
0.876,1.124,0.9458,74.8,4,0.707,8.92,0.592,0
0.618,1.021,0.9015,78.3,2,0.333,3.75,0.379,1
0.21,0.651,0.8507,36.1,7,0.008,4.88,0.585,0
0.355,0.736,1.0433,52.2,5,0.084,2.87,0.182,1
0.222,1.001,1.0228,71.9,2,0.497,5.15,0.303,0
0.072,0.563,0.9527,21.0,5,0.188,6.82,0.268,0
0.885,1.023,0.9008,68.0,3,0.495,0.93,0.478,0
0.453,0.595,0.9886,17.8,6,0.574,9.2,0.474,0
0.327,1.025,0.937,83.1,4,0.933,7.19,0.343,0
0.589,0.378,1.0107,61.0,7,0.656,0.97,0.108,0
0.057,0.34,1.0499,49.5,7,0.031,8.69,0.188,0
0.3,1.198,0.9198,48.8,1,0.381,7.44,0.125,0
0.683,1.083,0.8989,24.5,3,0.793,3.13,0.524,0
0.62,1.095,0.9035,37.7,2,0.261,5.21,0.245,1
0.934,1.156,0.8687,68.2,4,0.925,8.6,0.159,1
0.608,0.694,0.9288,53.3,2,0.529,9.68,0.277,0
0.48,0.558,0.8535,52.3,4,0.092,2.81,0.139,0
0.735,0.417,0.8729,25.6,2,0.242,6.51,0.589,1
0.863,0.751,0.9043,65.2,5,0.906,8.6,0.258,0
0.699,0.498,0.882,41.4,4,0.991,9.88,0.567,0
0.917,1.142,0.9964,24.6,7,0.863,0.71,0.441,1
0.754,0.304,0.8711,85.5,7,0.321,5.04,0.383,0
0.83,0.429,1.0232,50.5,5,0.769,8.74,0.338,0
0.153,0.522,0.8942,52.2,4,0.222,0.03,0.444,1
0.709,0.479,0.8717,88.5,6,0.385,4.37,0.443,0
0.446,0.503,0.852,39.3,5,0.697,5.84,0.105,0
0.548,0.89,0.993,85.4,1,0.969,5.26,0.554,0
0.639,0.595,0.9013,65.6,3,0.439,7.33,0.284,0
0.923,0.854,0.9519,60.6,7,0.496,0.66,0.277,1
0.936,1.101,0.8723,28.8,3,0.22,7.85,0.303,0
0.309,0.842,1.0471,14.1,1,0.403,2.83,0.443,0
0.71,0.925,0.8751,45.0,6,0.063,8.24,0.288,1
0.725,0.629,0.9324,10.8,7,0.859,4.19,0.287,1
0.362,0.444,1.0203,15.7,5,0.023,0.43,0.132,1
0.161,0.589,0.899,57.6,5,0.684,9.64,0.308,0
0.087,1.168,0.9034,68.0,3,0.273,7.81,0.175,0
0.75,0.86,1.0117,23.4,3,0.476,3.48,0.528,0
0.491,0.55,0.9047,68.6,7,0.282,2.7,0.267,0
0.937,0.706,0.8506,86.0,7,0.4,5.89,0.58,0
0.468,1.052,0.9356,69.5,4,0.547,9.87,0.442,0
0.93,0.902,0.8525,72.8,3,0.641,2.9,0.478,0
0.42,0.805,1.032,66.1,2,0.94,9.48,0.574,0
0.764,1.097,0.9784,28.0,1,0.332,3.3,0.219,0
0.126,0.905,0.9666,38.9,4,0.585,7.04,0.384,0
0.55,0.878,0.8903,85.9,4,0.902,3.82,0.12,0
0.772,0.471,0.99,62.9,5,0.29,0.85,0.15,0
0.882,0.396,0.9855,73.1,6,0.865,9.36,0.283,0
0.79,1.169,0.8621,87.5,3,0.958,1.64,0.441,0
0.083,0.839,1.0262,28.5,2,0.847,9.45,0.516,0
0.385,0.674,0.9659,35.7,6,0.57,1.03,0.228,0
0.094,0.83,1.0085,61.6,6,0.722,2.67,0.475,0
0.148,0.356,0.9026,11.9,4,0.481,9.21,0.212,0
0.658,1.04,0.8744,55.7,1,0.597,6.59,0.103,0
0.692,0.495,0.9905,74.7,4,0.974,1.89,0.127,0
0.746,1.024,1.0088,58.8,5,0.251,5.92,0.393,1
0.829,0.781,0.9272,33.6,7,0.793,1.8,0.349,1
0.715,0.549,0.8547,67.9,4,0.506,8.74,0.235,0
0.771,0.327,1.0137,21.7,4,0.177,0.5,0.103,1
0.094,1.034,0.8912,81.6,3,0.644,5.3,0.384,0
0.261,0.459,0.9178,18.1,3,0.792,0.63,0.509,0
0.61,0.347,0.9756,79.1,1,0.569,6.95,0.134,0
0.822,0.98,0.87,49.8,1,0.837,9.36,0.468,0
0.054,0.615,0.8644,44.3,6,0.366,8.31,0.417,0
0.513,0.65,0.8551,50.1,3,0.914,3.72,0.34,0
0.66,0.522,1.0333,26.0,6,0.648,2.37,0.124,0
0.077,1.073,0.9123,46.6,3,0.803,1.21,0.562,0
0.411,0.568,0.9821,78.0,7,0.273,8.74,0.339,0
0.856,0.489,1.0478,74.1,2,0.446,0.81,0.3,0
0.654,0.578,0.9839,23.0,2,0.91,6.29,0.531,0
0.264,0.483,0.955,63.9,5,0.051,3.67,0.523,0
0.818,0.586,0.9542,78.5,6,0.404,9.96,0.464,0
0.363,0.375,0.9254,75.6,2,0.78,5.09,0.515,0
0.818,0.443,0.97,44.1,4,0.744,5.49,0.162,0
0.319,0.675,1.0418,13.8,2,0.852,9.18,0.48,0
0.581,1.092,1.0076,84.5,6,0.739,9.7,0.264,0
0.407,0.352,0.9348,41.7,4,0.947,5.84,0.534,0
0.297,0.491,0.9165,38.9,5,0.498,7.96,0.285,0
0.848,1.118,1.0267,70.8,2,0.624,6.35,0.127,0
0.219,1.101,0.8772,31.1,3,0.848,4.27,0.307,0
0.126,0.912,1.0199,76.8,5,0.702,0.57,0.478,0
0.358,0.516,0.901,16.1,3,0.102,7.18,0.35,0
0.696,0.678,0.9931,69.3,5,0.367,7.0,0.482,0
0.777,0.49,1.0112,87.3,2,0.553,1.17,0.118,0
0.949,0.416,0.9454,89.7,3,0.755,2.3,0.189,0
0.317,0.642,0.8885,83.9,1,0.544,7.32,0.382,0
0.417,0.818,1.019,79.7,1,0.778,1.5,0.293,0
0.173,0.624,0.9235,32.3,2,0.838,6.91,0.44,0
0.567,0.85,0.9141,87.3,4,0.265,7.18,0.581,0
0.948,0.567,0.952,84.2,2,0.616,3.53,0.43,0
0.681,0.611,0.937,52.7,1,0.557,2.58,0.309,0
0.586,1.012,0.9866,42.2,7,0.227,3.73,0.371,1
0.403,1.09,0.8774,18.7,4,0.49,3.59,0.556,0
0.874,0.59,0.9371,57.3,6,0.549,6.07,0.436,0
0.497,0.814,1.0283,66.0,6,0.817,7.44,0.502,0
0.171,0.55,0.8572,42.3,1,0.461,8.62,0.251,0
0.379,0.348,0.9415,42.5,5,0.081,0.3,0.472,0
0.11,0.964,0.9821,55.9,7,0.487,7.27,0.17,0
0.232,0.454,1.0275,12.2,4,0.838,3.14,0.475,0
0.066,0.683,0.9688,86.6,7,0.571,8.39,0.541,0
0.458,0.738,1.0149,33.2,7,0.319,0.76,0.55,0
0.621,0.466,0.8945,21.3,4,0.921,5.51,0.158,0
0.359,0.385,0.9206,10.4,1,0.156,5.49,0.515,1
0.428,0.613,1.0384,78.6,5,0.327,3.27,0.155,0
0.913,1.157,1.0272,79.1,7,0.437,9.7,0.339,1
0.727,0.854,0.9616,17.6,5,0.738,1.07,0.441,1
0.537,0.643,0.9451,22.2,6,0.836,1.36,0.342,0
0.306,0.335,0.9402,45.8,4,0.059,6.44,0.27,0
0.857,0.84,0.8618,24.9,3,0.792,5.14,0.442,0
0.262,0.383,1.0285,68.9,7,0.721,2.64,0.43,0
0.343,0.788,1.0136,14.6,2,0.895,3.04,0.391,0
0.868,0.977,0.9413,54.0,4,0.9,1.57,0.364,0
0.527,0.681,0.9059,40.6,2,0.778,8.68,0.453,0
0.718,0.569,0.9186,47.2,5,0.19,5.7,0.302,0
0.582,0.343,0.8746,44.0,7,0.314,2.45,0.134,0
0.638,0.322,0.9944,22.3,7,0.936,3.93,0.369,0
0.319,0.687,0.9613,27.6,2,0.598,9.07,0.462,0
0.267,1.095,0.8968,15.2,6,0.539,8.87,0.25,0
0.34,0.52,0.9746,19.2,7,0.916,0.69,0.17,1
0.19,0.817,1.0458,88.2,6,0.874,6.54,0.556,0
0.837,0.916,0.8745,32.4,4,0.727,1.53,0.532,0
0.305,0.355,0.9417,34.6,2,0.882,2.11,0.409,0
0.555,0.438,0.9488,20.2,4,0.114,8.64,0.493,0
0.763,0.598,0.8834,70.4,6,0.758,8.95,0.584,0
0.755,0.903,0.9563,83.9,5,0.966,0.83,0.385,0
0.445,0.695,0.9712,73.2,3,0.049,8.74,0.222,0
0.479,0.961,0.8815,59.0,2,0.223,7.28,0.419,0
0.945,1.081,0.8809,75.1,5,0.794,7.76,0.557,0
0.657,0.983,1.0213,42.3,3,0.52,7.92,0.445,0
0.783,1.193,0.9123,78.8,4,0.087,5.07,0.113,0
0.862,0.979,0.9761,73.9,7,0.268,9.47,0.559,0
0.759,1.067,0.9754,10.1,1,0.324,2.0,0.477,1
0.217,1.049,1.0178,49.0,2,0.321,5.05,0.301,0
0.556,0.957,0.998,31.2,7,0.878,3.19,0.594,1
0.142,1.022,1.0181,16.9,7,0.662,8.22,0.461,0
0.638,1.141,0.975,77.7,3,0.735,0.83,0.513,0
0.91,0.728,0.9399,10.6,7,0.014,4.34,0.572,1
0.511,0.874,0.9287,68.4,2,0.428,7.73,0.12,0
0.44,0.763,0.9258,89.1,1,0.318,3.12,0.487,0
0.082,1.066,0.9337,48.6,3,0.852,2.4,0.293,0
0.914,0.688,0.8759,39.7,4,0.954,2.63,0.535,0
0.143,1.038,0.9348,58.5,1,0.423,7.14,0.539,0
0.087,1.019,0.9279,74.4,2,0.973,2.87,0.514,0
0.271,1.166,0.8569,29.2,6,0.014,4.03,0.49,1
0.109,0.524,0.905,30.1,5,0.326,5.46,0.497,0
0.46,0.939,1.0004,58.6,5,0.775,9.41,0.248,0
0.514,0.981,0.9656,85.2,7,0.36,7.94,0.303,0
0.331,1.143,1.0112,33.9,2,0.921,1.85,0.158,0
0.096,1.116,0.9585,40.1,7,0.218,8.83,0.515,0
0.15,0.816,1.0208,89.5,3,0.796,8.45,0.423,0
0.396,0.821,1.0092,24.1,7,0.202,7.45,0.406,0
0.104,0.451,0.8697,16.2,6,0.197,5.17,0.223,0
0.678,1.177,1.0454,57.2,2,0.446,0.7,0.408,1
0.236,0.53,0.8529,11.9,2,0.945,7.12,0.327,0
0.322,0.952,0.9694,24.4,4,0.585,5.18,0.598,0
0.405,1.016,1.0085,59.8,4,0.635,3.1,0.532,1
0.425,0.697,0.9164,62.8,2,0.01,0.1,0.363,0
0.051,0.49,0.9697,50.8,2,0.057,2.31,0.504,0
0.151,0.47,0.9224,40.7,7,0.067,6.06,0.182,1
0.826,1.071,0.8621,56.1,6,0.82,1.12,0.151,1
0.051,0.76,0.8517,61.5,2,0.237,6.55,0.415,0
0.507,0.381,0.869,74.3,6,0.329,8.2,0.463,0
0.491,0.945,0.8697,73.4,2,0.61,3.18,0.127,0
0.35,0.525,0.9722,63.2,4,0.584,0.82,0.2,0
0.438,1.089,0.9552,81.5,1,0.411,1.4,0.369,0
0.753,0.579,0.9411,77.0,5,0.004,3.58,0.131,0
0.807,0.48,0.9884,20.7,2,0.45,8.13,0.312,0
0.284,0.376,0.8534,86.5,2,0.739,6.34,0.341,0
0.34,0.76,0.9042,81.3,2,0.235,8.68,0.561,0
0.268,0.706,1.0055,35.7,2,0.708,9.94,0.258,0
0.482,0.976,1.032,11.6,1,0.015,2.03,0.184,0
0.665,0.718,0.9377,58.3,4,0.908,6.95,0.104,0
0.255,0.609,0.8663,45.1,7,0.95,4.67,0.161,0
0.348,0.535,1.0097,70.0,3,0.002,4.93,0.475,1
0.887,0.55,1.027,52.0,6,0.458,3.26,0.322,1
0.094,1.135,0.9327,16.1,4,0.414,3.43,0.199,1
0.465,0.449,0.8987,29.6,2,0.842,6.76,0.567,1
0.69,1.189,0.8588,80.6,1,0.541,6.21,0.494,0
0.185,0.594,0.9682,13.0,6,0.611,3.19,0.157,0
0.093,0.38,1.032,68.9,1,0.203,1.19,0.234,0
0.174,0.524,0.9856,33.4,3,0.077,5.78,0.525,0
0.877,0.353,0.9134,46.2,1,0.692,7.39,0.446,0
0.058,1.011,0.9786,52.5,6,0.621,5.59,0.573,0
0.219,0.761,1.0164,30.0,7,0.832,0.04,0.138,0
0.078,0.603,0.9452,62.2,3,0.845,2.82,0.488,0
0.15,0.896,1.0139,65.5,3,0.631,7.79,0.138,0
0.608,0.868,0.9284,16.8,4,0.538,7.43,0.268,0
0.267,1.146,0.9197,39.9,4,0.914,0.1,0.475,1
0.562,1.165,0.9666,69.6,3,0.801,4.7,0.456,0
0.581,0.913,0.9429,67.7,3,0.882,4.37,0.101,0
0.814,1.036,1.0454,53.6,2,0.996,6.52,0.201,0
0.054,1.013,0.9533,72.2,2,0.404,1.25,0.489,0
0.818,0.742,0.927,18.6,5,0.717,6.21,0.163,1
0.607,0.934,0.929,19.5,6,0.688,9.47,0.263,0
0.196,0.37,0.9596,62.6,6,0.174,3.72,0.192,0
0.746,0.982,0.921,65.5,4,0.637,3.37,0.156,0
0.82,1.166,0.9946,75.2,6,0.428,0.28,0.518,1
0.279,0.376,0.9261,24.5,5,0.451,0.57,0.131,1
0.877,1.053,0.9268,51.3,3,0.18,9.32,0.368,0
0.459,1.14,0.9734,62.9,3,0.745,9.76,0.446,0
0.593,0.504,0.8622,27.9,4,0.698,0.06,0.129,1
0.936,0.772,0.9811,51.4,3,0.532,9.01,0.417,0
0.375,1.135,0.951,61.1,6,0.157,1.74,0.267,0
0.782,1.164,0.9406,27.2,2,0.557,5.61,0.517,1
0.337,0.415,0.9939,40.0,1,0.1,6.78,0.499,0
0.769,0.614,1.0017,27.3,4,0.339,3.59,0.497,0
0.591,0.928,1.0193,82.2,1,0.372,5.29,0.299,0
0.245,0.499,0.925,28.9,2,0.883,6.28,0.511,0
0.423,0.592,0.9154,19.7,3,0.416,1.94,0.415,0
0.336,0.321,0.9929,12.8,1,0.598,9.94,0.289,0
0.12,0.438,0.9664,13.6,2,0.875,2.04,0.14,0
0.077,0.806,0.9764,25.3,4,0.426,0.1,0.133,0
0.362,0.888,0.9611,58.7,3,0.884,9.44,0.226,0
0.067,0.884,1.0045,11.4,7,0.136,4.29,0.25,1
0.199,1.001,0.888,32.9,1,0.365,3.99,0.564,0
0.703,0.674,0.9611,14.7,6,0.095,2.76,0.6,0
0.687,0.546,0.8816,42.3,5,0.561,0.26,0.172,0
0.715,0.314,0.9315,13.9,5,0.957,2.65,0.571,0
0.335,0.486,0.9828,58.6,5,0.657,3.93,0.453,0
0.851,0.581,0.9486,65.1,1,0.626,5.2,0.349,0
0.584,0.46,0.9259,68.5,6,0.278,4.58,0.577,0
0.163,0.318,1.027,27.9,3,0.931,8.79,0.457,0
0.179,0.442,1.0046,79.5,5,0.472,9.11,0.397,0
0.674,0.899,0.9553,65.2,3,0.267,3.17,0.205,1
0.206,0.867,1.04,14.5,3,0.988,9.6,0.222,0
0.507,1.142,0.9349,45.3,5,0.423,8.65,0.556,0
0.943,1.018,1.0076,71.4,7,0.371,9.28,0.208,1
0.054,0.811,0.8836,34.9,7,0.035,7.06,0.116,0
0.065,0.424,0.9072,40.5,6,0.178,1.98,0.233,0
0.944,0.808,0.9176,60.4,4,0.809,1.95,0.34,0
0.576,0.355,0.8712,14.4,4,0.483,9.09,0.291,0
0.164,0.688,0.9504,87.4,7,0.955,5.07,0.568,0
0.858,0.651,0.8885,24.0,2,0.084,8.9,0.309,0
0.842,0.685,0.9768,12.1,7,0.616,7.21,0.545,0
0.533,0.552,0.888,10.4,5,0.72,2.13,0.397,1
0.61,0.917,0.8747,42.0,5,0.621,3.85,0.362,0
0.296,1.057,1.0438,80.7,5,0.53,9.68,0.18,0
0.095,0.992,0.9816,75.6,6,0.578,0.2,0.236,0
0.585,0.865,1.0373,83.0,5,0.69,7.15,0.534,0
0.315,0.785,0.948,52.7,1,0.863,9.79,0.49,0
0.647,0.328,0.8567,45.9,6,0.336,1.04,0.324,1
0.803,0.951,0.9649,40.9,6,0.46,2.72,0.555,1
0.066,0.79,0.9617,13.7,7,0.636,5.47,0.51,1
0.586,0.544,0.853,82.8,7,0.314,8.44,0.156,0
0.258,0.595,1.0222,49.7,7,0.179,5.07,0.403,0
0.836,1.142,0.974,46.4,1,0.966,0.6,0.499,1
0.278,0.862,0.9989,51.2,5,0.195,1.27,0.504,0
0.6,0.728,0.9488,73.5,7,0.233,3.76,0.146,0
0.548,0.859,0.9737,28.0,7,0.619,3.23,0.212,0
0.407,0.672,0.9015,66.8,4,0.077,2.2,0.307,0
0.66,0.723,1.0448,66.9,7,0.034,8.4,0.226,0
0.703,0.561,0.9301,78.0,7,0.064,0.27,0.154,0
0.56,0.696,0.8825,10.7,1,0.123,8.29,0.414,0
0.733,0.917,0.8612,23.6,7,0.429,9.22,0.354,0
0.935,0.336,0.9772,47.7,5,0.829,6.3,0.177,0
0.427,1.016,1.0467,78.0,5,0.342,6.25,0.393,0
0.513,0.555,1.0292,87.2,2,0.428,1.49,0.131,0
0.061,0.914,0.9904,57.6,7,0.6,5.68,0.292,0
0.766,0.878,1.0481,27.0,3,0.302,3.75,0.496,1
0.518,0.887,0.9946,24.8,3,0.433,2.29,0.545,0
